stim_index,kind,stim_filename,nsd_id_73k,nsd_shared_pos,coco_id,coco_split,match_dist,match_mutual
1,scene,0001.bmp,2951,1,262145,train2017,1.6819894743639572,True
2,scene,0002.bmp,2991,2,262239,train2017,1.8185225682924944,True
3,scene,0003.bmp,3050,3,262414,train2017,1.6762774286537419,True
4,scene,0004.bmp,3078,4,524646,train2017,1.4796990530505314,True
5,scene,0005.bmp,3147,5,262690,train2017,1.0726377106007683,True
6,scene,0006.bmp,3158,6,584,train2017,1.4490223680371443,True
7,scene,0007.bmp,3165,7,605,train2017,1.864092752361293,True
8,scene,0008.bmp,3172,8,625,train2017,1.3981787182387782,True
9,scene,0009.bmp,3182,9,650,train2017,1.4953740818780767,True
10,scene,0010.bmp,3387,10,1308,train2017,1.4014945020481453,True
11,scene,0011.bmp,3435,11,263599,train2017,1.6286555620694863,True
12,scene,0012.bmp,3450,12,525790,train2017,1.26477774932474,True
13,scene,0013.bmp,3490,13,525932,train2017,1.236618596997113,True
14,scene,0014.bmp,3627,14,264244,train2017,1.1961714758541402,True
15,scene,0015.bmp,3683,15,264396,train2017,0.48370524281520044,True
16,scene,0016.bmp,3688,16,2270,train2017,1.0296030072628368,True
17,scene,0017.bmp,3730,17,2372,train2017,1.1232723016982864,True
18,scene,0018.bmp,3810,18,264735,train2017,0.987813392156693,True
19,scene,0019.bmp,3843,19,526968,train2017,2.0838792119236187,True
20,scene,0020.bmp,3848,20,526980,train2017,1.4014541977748232,True
21,scene,0021.bmp,3857,21,274108,train2017,1.1904975585628477,True
22,scene,0022.bmp,3914,22,265023,train2017,1.826338839869264,True
23,scene,0023.bmp,3952,23,265150,train2017,1.3406406465152052,True
24,scene,0024.bmp,4052,24,265453,train2017,1.6726007900873938,True
25,scene,0025.bmp,4059,25,527618,train2017,1.2812350571404674,True
26,scene,0026.bmp,4130,26,3521,train2017,1.7118722424294393,True
27,scene,0027.bmp,4157,27,265745,train2017,1.0567452205397512,True
28,scene,0028.bmp,4250,28,558788,train2017,1.205185530316255,True
29,scene,0029.bmp,4326,29,393907,train2017,1.9990903246557485,True
30,scene,0030.bmp,4424,30,4442,train2017,1.0799448833484864,True
31,scene,0031.bmp,4437,31,266622,train2017,0.9120074331284602,True
32,scene,0032.bmp,4613,32,5028,train2017,1.447395638173427,True
33,scene,0033.bmp,4668,33,267338,train2017,1.6812090790700676,True
34,scene,0034.bmp,4691,34,5277,train2017,1.3267549146544566,True
35,scene,0035.bmp,4769,35,267647,train2017,1.85307456098473,True
36,scene,0036.bmp,4787,36,267699,train2017,0.9712399729314051,True
37,scene,0037.bmp,4836,37,5684,train2017,1.5965937838994988,True
38,scene,0038.bmp,4870,38,312536,train2017,1.8652378315895617,True
39,scene,0039.bmp,4893,39,268008,train2017,1.24309058143381,True
40,scene,0040.bmp,4931,40,268114,train2017,1.6422694208258513,True
41,scene,0041.bmp,5035,41,268418,train2017,1.2032382983403662,True
42,scene,0042.bmp,5107,42,268659,train2017,1.010172767177006,True
43,scene,0043.bmp,5205,43,6765,train2017,1.2222998774683562,True
44,scene,0044.bmp,5286,44,7048,train2017,1.9782371357849178,True
45,scene,0045.bmp,5302,45,531392,train2017,0.9717205503710081,True
46,scene,0046.bmp,5339,46,531515,train2017,1.0825042936683587,True
47,scene,0047.bmp,5428,47,531828,train2017,1.2256430669437022,True
48,scene,0048.bmp,5460,48,11299,train2017,1.8660383491106707,True
49,scene,0049.bmp,5503,49,219750,train2017,1.165219654242161,True
50,scene,0050.bmp,5543,50,7932,train2017,1.6359078704100094,True
51,scene,0051.bmp,5575,51,8027,train2017,1.893426740140374,True
52,scene,0052.bmp,5584,52,8053,train2017,1.3373945008751404,True
53,scene,0053.bmp,5603,53,270278,train2017,1.3992111241146397,True
54,scene,0054.bmp,5715,54,532753,train2017,3.076304073532672,True
55,scene,0055.bmp,5879,55,533231,train2017,1.013994140024606,True
56,scene,0056.bmp,5891,56,8998,train2017,1.0603599045846261,True
57,scene,0057.bmp,6133,57,1625,train2017,2.0028690821503634,True
58,scene,0058.bmp,6200,58,534259,train2017,0.8987932973039874,True
59,scene,0059.bmp,6223,59,10046,train2017,1.3226176773617275,True
60,scene,0060.bmp,6432,60,10710,train2017,1.6994650079215352,True
61,scene,0061.bmp,6445,61,272901,train2017,1.316503121468923,True
62,scene,0062.bmp,6490,62,10903,train2017,1.1811790399412925,True
63,scene,0063.bmp,6515,63,273120,train2017,1.5394506828762389,True
64,scene,0064.bmp,6522,64,273138,train2017,1.3914877898450886,True
65,scene,0065.bmp,6525,65,273147,train2017,1.2962715809122396,True
66,scene,0066.bmp,6559,66,273250,train2017,1.825035597579837,True
67,scene,0067.bmp,6641,67,11358,train2017,1.082317256423461,True
68,scene,0068.bmp,6714,68,535871,train2017,1.3805374428869626,True
69,scene,0069.bmp,6802,69,11856,train2017,1.8825213488530008,True
70,scene,0070.bmp,7008,70,536786,train2017,2.212845495205899,True
71,scene,0071.bmp,7040,71,536884,train2017,1.3405438408812023,True
72,scene,0072.bmp,7121,72,274978,train2017,1.814602886424385,True
73,scene,0073.bmp,7208,73,537393,train2017,2.357253616928187,True
74,scene,0074.bmp,7337,74,275663,train2017,1.3926514736101934,True
75,scene,0075.bmp,7367,75,399878,train2017,1.0644946302862452,True
76,scene,0076.bmp,7410,76,275902,train2017,1.0876585279609225,True
77,scene,0077.bmp,7419,77,275938,train2017,1.023143280497756,True
78,scene,0078.bmp,7481,78,13969,train2017,1.5990427361596078,True
79,scene,0079.bmp,7655,79,276664,train2017,1.375539861081746,True
80,scene,0080.bmp,7660,80,538822,train2017,1.0597559313797418,True
81,scene,0081.bmp,7841,81,539340,train2017,1.3700663682611725,True
82,scene,0082.bmp,7860,82,539395,train2017,1.6836310734259115,True
83,scene,0083.bmp,7945,83,277524,train2017,2.4728857734337644,True
84,scene,0084.bmp,7949,84,570543,train2017,2.124187100952038,True
85,scene,0085.bmp,7955,85,539705,train2017,0.6072729626991045,True
86,scene,0086.bmp,8007,86,539879,train2017,1.0427918365886821,True
87,scene,0087.bmp,8110,87,300383,train2017,1.911313326801266,True
88,scene,0088.bmp,8205,88,540538,train2017,0.903550827706567,True
89,scene,0089.bmp,8226,89,16314,train2017,1.1277162870323685,True
90,scene,0090.bmp,8263,90,278555,train2017,1.4010676080084115,True
91,scene,0091.bmp,8275,91,540735,train2017,1.0808240797594033,True
92,scene,0092.bmp,8319,92,278714,train2017,1.4218453148588612,True
93,scene,0093.bmp,8388,93,541077,train2017,1.7898265058649052,True
94,scene,0094.bmp,8395,94,278962,train2017,1.6020901526664189,True
95,scene,0095.bmp,8416,95,16898,train2017,1.050468787579117,True
96,scene,0096.bmp,8436,96,541258,train2017,1.5611464813456934,True
97,scene,0097.bmp,8466,97,279197,train2017,1.7035540417978456,True
98,scene,0098.bmp,8510,98,541472,train2017,1.6490488084951682,True
99,scene,0099.bmp,8632,99,271183,train2017,0.6141790989683659,True
100,scene,0100.bmp,8647,100,541856,train2017,1.5879985485762,True
101,scene,0101.bmp,8808,101,17967,train2017,1.8046938896668823,True
102,scene,0102.bmp,8844,102,18078,train2017,1.467836089031387,True
103,scene,0103.bmp,8926,103,280484,train2017,1.16760268984639,True
104,scene,0104.bmp,8934,104,18367,train2017,2.181847106112984,True
105,scene,0105.bmp,9028,105,280764,train2017,1.4952637421121762,True
106,scene,0106.bmp,9049,106,280808,train2017,1.3849056990004036,True
107,scene,0107.bmp,9148,107,543254,train2017,2.2152643487726595,True
108,scene,0108.bmp,9231,108,281330,train2017,0.5238395749670308,True
109,scene,0109.bmp,9435,109,544060,train2017,1.2049473698876083,True
110,scene,0110.bmp,9463,110,19863,train2017,1.832802405336646,True
111,scene,0111.bmp,9681,111,20517,train2017,1.6493857431569576,True
112,scene,0112.bmp,9723,112,544926,train2017,1.8657201971529087,True
113,scene,0113.bmp,9805,113,545160,train2017,0.9746621520959527,True
114,scene,0114.bmp,9848,114,571485,train2017,1.8124005440237294,True
115,scene,0115.bmp,9866,115,21095,train2017,2.3963708422409242,True
116,scene,0116.bmp,9918,116,283426,train2017,0.6447692687887286,True
117,scene,0117.bmp,9979,117,396793,train2017,2.272188398304452,True
118,scene,0118.bmp,10007,118,283678,train2017,1.9605540443759484,True
119,scene,0119.bmp,10047,119,545950,train2017,1.4482630840980362,True
120,scene,0120.bmp,10065,120,21718,train2017,1.3211034983495848,True
121,scene,0121.bmp,10106,121,546140,train2017,1.313711529813804,True
122,scene,0122.bmp,10108,122,546147,train2017,1.458749325027163,True
123,scene,0123.bmp,10245,123,22256,train2017,2.0588454669135783,True
124,scene,0124.bmp,10394,124,122964,train2017,1.0454201783640653,True
125,scene,0125.bmp,10472,125,22964,train2017,1.9889140339696325,True
126,scene,0126.bmp,10508,126,547367,train2017,1.735347298406969,True
127,scene,0127.bmp,10587,127,285450,train2017,1.3730432061668105,True
128,scene,0128.bmp,10601,128,547644,train2017,1.1045170352762108,True
129,scene,0129.bmp,10611,129,23392,train2017,1.7180368797030727,True
130,scene,0130.bmp,10908,130,548593,train2017,0.9624089602893502,True
131,scene,0131.bmp,11160,131,549301,train2017,1.266875665694335,True
132,scene,0132.bmp,11334,132,549830,train2017,1.767131491044228,True
133,scene,0133.bmp,11488,133,26029,train2017,2.0450730614653754,True
134,scene,0134.bmp,11522,134,550396,train2017,1.7095865842326292,True
135,scene,0135.bmp,11567,135,288372,train2017,0.9722569134267595,True
136,scene,0136.bmp,11618,136,26388,train2017,1.4588268840738263,True
137,scene,0137.bmp,11636,137,26443,train2017,1.1377124005605632,True
138,scene,0138.bmp,11690,138,288751,train2017,1.9953657265338978,True
139,scene,0139.bmp,11726,139,26702,train2017,2.1372215139962556,True
140,scene,0140.bmp,11797,140,551164,train2017,1.4462617185306232,True
141,scene,0141.bmp,11828,141,26981,train2017,1.0302844895227357,True
142,scene,0142.bmp,11838,142,27002,train2017,1.7488377133451656,True
143,scene,0143.bmp,11845,143,27030,train2017,0.9515439592519634,True
144,scene,0144.bmp,11933,144,354070,train2017,1.603214104956106,True
145,scene,0145.bmp,11943,145,27298,train2017,1.593429832267714,True
146,scene,0146.bmp,11953,146,289460,train2017,1.3611453087559693,True
147,scene,0147.bmp,12066,147,289791,train2017,1.1450422073291968,True
148,scene,0148.bmp,12076,148,27665,train2017,1.5227386541477848,True
149,scene,0149.bmp,12215,149,290192,train2017,1.4845875206942643,True
150,scene,0150.bmp,12309,150,552589,train2017,2.0890753666675765,True
151,scene,0151.bmp,12488,151,553150,train2017,1.3033008409746207,True
152,scene,0152.bmp,12496,152,553166,train2017,1.9113569323091686,True
153,scene,0153.bmp,12635,153,553586,train2017,1.0094580090540262,True
154,scene,0154.bmp,12686,154,291560,train2017,0.9902027100937966,True
155,scene,0155.bmp,12797,155,29730,train2017,1.2909409170307464,True
156,scene,0156.bmp,12799,156,29732,train2017,1.9572004460389245,True
157,scene,0157.bmp,12923,157,30109,train2017,1.062959827580591,True
158,scene,0158.bmp,12938,158,30148,train2017,1.5881755752628832,True
159,scene,0159.bmp,13139,159,292845,train2017,1.1757201598464504,True
160,scene,0160.bmp,13231,160,293130,train2017,1.6857812754643118,True
161,scene,0161.bmp,13313,161,293368,train2017,1.6594300985463648,True
162,scene,0162.bmp,13315,162,293372,train2017,1.3900298571702607,True
163,scene,0163.bmp,13614,163,32134,train2017,2.051962123998735,True
164,scene,0164.bmp,13654,164,556542,train2017,1.818293396829227,True
165,scene,0165.bmp,13663,165,32275,train2017,1.0130100214340554,True
166,scene,0166.bmp,13721,166,556748,train2017,1.5797334876441627,True
167,scene,0167.bmp,13847,167,32809,train2017,0.8175682213572726,True
168,scene,0168.bmp,14111,168,557848,train2017,1.7249937583114445,True
169,scene,0169.bmp,14122,169,557886,train2017,1.9520395971662035,True
170,scene,0170.bmp,14166,170,33727,train2017,2.1654044804088586,True
171,scene,0171.bmp,14180,171,33764,train2017,1.622057731766841,True
172,scene,0172.bmp,14444,172,558822,train2017,1.6354639731524112,True
173,scene,0173.bmp,14529,173,559816,train2017,1.5197930706786282,True
174,scene,0174.bmp,14568,174,559145,train2017,1.8857815982096833,True
175,scene,0175.bmp,14595,175,559225,train2017,1.1120870423406641,True
176,scene,0176.bmp,14611,176,297154,train2017,1.1932891666352543,True
177,scene,0177.bmp,14645,177,573830,train2017,1.2616683571326244,True
178,scene,0178.bmp,14794,178,355458,train2017,1.2611569136068717,True
179,scene,0179.bmp,14809,179,559958,train2017,1.6682239108098424,True
180,scene,0180.bmp,14821,180,297844,train2017,1.5020181433924533,True
181,scene,0181.bmp,14899,181,35927,train2017,1.7337600621858404,True
